"Facity Name","id","Opening Date","Sector","Subdistrict","District","Province","District","Facility type","Ownership","LOCATION"
"Cyabingo CS","290","1/1/2011","Cyabingo","Nemba Sub District","Gakenke District","North","Gakenke District","Health Center","Public","-1.5854 29.6882"
"Cyabusheshe HP","1804","6/1/2018","Gitoki","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Post","Public",""
"Cyahinda CS","68","1/1/2011","Cyahinda","Munini Sub District","Nyaruguru District","South","Nyaruguru District","Health Center","Agree","-2.7408 29.6091"
"Cyamigurwa HP","1909","1/1/2017","Mushikiri","Kirehe Sub District","Kirehe District","East","Kirehe District","Health Post","Public","-2.215509 30.619441"
"Cyamuhinda PS","1613","1/1/1970","Muko (Gicumbi  District)","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Post","",""
"Cyandaro PS","1617","1/1/1970","Ruvune","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Post","",""
"Cyanika (burera) CS","605","1/1/2011","Cyanika (Burera  District)","Butaro Sub District","Burera District","North","Burera District","Health Center","Public","-1.38155 29.7285"
"Cyanika (nyamagabe) CS","98","1/1/2011","Cyanika","Kigeme Sub District","Nyamagabe District","South","Nyamagabe District","Health Center","Agree","-2.4406 29.6032"
"CYANIKA HP","1968","1/1/2017","Rurembo","Shyira Sub District","Nyabihu District","West","Nyabihu District","Health Post","Public","-1.665188 29.611676"
"Cyanya HP","1881","1/1/2017","Gishyita","Mugonero Sub District","Karongi District","West","Karongi District","Health Post","Public","-2.156005 29.297213"
"Cyanya PS","2153","1/1/2018","Gishyita","Mugonero Sub District","Karongi District","West","Karongi District","Health Post","","-2.15579 29.29705"
"CYANZA HP","2084","1/1/2017","Mbuye","Ruhango Sub District","Ruhango District","South","Ruhango District","Health Post","Public","-2.142727 29.811925"
"CYANZARWE HP","2072","1/1/2017","Cyanzarwe","Gisenyi Sub District","Rubavu District","West","Rubavu District","Health Post","Public","-1.622422 29.320003"
"Cyaratsi CS","38","1/1/2011","Rwabicuma","Nyanza Sub District","Nyanza District","South","Nyanza District","Health Center","Public","-2.3858 29.7144"
"Cyarubare CS","404","1/1/2011","Kabare","Rwinkwavu Sub District","Kayonza District","East","Kayonza District","Health Center","Public","-2.0204 30.6377"
"CYEREZO HP","2031","1/1/2017","Mukingo","Nyanza Sub District","Nyanza District","South","Nyanza District","Health Post","Public","-2.299772 29.701451"
"Cyeru CS","142","1/1/2011","Mugina","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Health Center","Public","-2.1873 29.9695"
"Cyeza HP","1923","1/1/2017","Cyeza","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Post","Public","-2.018264 29.79763"
"CYIBUMBA HP","2103","1/1/2017","Nkanka","Gihundwe Sub District","Rusizi District","West","Rusizi District","Health Post","Public","-2.410668 28.957631"
"Cyimbili CS","180","1/1/2011","Kigeyo","Murunda Sub District","Rutsiro District","West","Rutsiro District","Health Center","Agree","-1.8277 29.2926"
"CYINGWA HP","2104","1/1/2017","Gitambi","Mibilizi Sub District","Rusizi District","West","Rusizi District","Health Post","Public","-2.583199 28.973185"
"Cyivugiza (Nyamasheke) CS","1393","1899-12-31","Karambi","Kibogora Sub District","Nyamasheke District","West","Nyamasheke District","Health Center","",""
"Cyivugiza HP","1942","1/1/2017","Muko","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Post","Agree","-1.541207 29.632439"
"Cyondo CS","368","1/1/2011","KIYOMBE","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Center","Public","-1.4406 30.1206"
"CYOTAMAKARA Poste secondaire","2032","1/1/2017","Ntyazo","Nyanza Sub District","Nyanza District","South","Nyanza District","Health Post level 2","Public","-2.411641 29.832086"
"Cyuga HP","1785","1/1/2017","Jali","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Post","Public","-1.865829 30.026661"
"Cyugaro HP","1710","1/1/2017","Ntarama","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Private","-2.116197 30.041377"
"Cyumba CS","1346","7/1/2013","Cyumba","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Public",""
"Deva Medical Center Disp","1690","10/20/2016","Remera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private",""
"Dispensaire de la Vallee DISP","1484","1/1/1900","Gisozi","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private",""
"Doctor's Plaza CLIN","1119","8/1/2010","Kimironko","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private","-1.953057 30.11389"
"Doctrina Viate Disp","1344","9/27/2013","Ndera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private",""
"Don de Dieu (Kicukiro) CLIN","1120","7/1/2010","Niboye","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Medical Clinic","Private",""
"Don de Dieu (Nyarugenge) DISP","1152","1/1/1970","Rwezamenyo","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private","-1.970236 30.049044"
"Don De Dieu Disp","1363","1/1/1900","Nyamirambo","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private",""
"Dothan Clin","1687","8/2/2016","Masaka","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Medical Clinic","Private",""
"Dr Agarwal's Eye Hosp","1424","2/1/2012","Remera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private","-1.95712 30.10568"
"Dr Julieta B Lucs Dental Clini","1468","1/1/2007","Remera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private",""
"Drew Cares International","1583","2/9/2015","Kacyiru","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Other facility type","Private",""
"Dufashanye DISP","548","1/1/2011","Kigabiro","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Dispensary","Private",""
"Dufatanye DISP","1153","2/22/2007","Rwezamenyo","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private","-1.977656 30.047444"
"Dusabane Disp","1675","8/14/2015","Kinyinya","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private",""
"Dusanganwe DISP","1375","1/1/1900","Kamembe","Gihundwe Sub District","Rusizi District","West","Rusizi District","Dispensary","Private",""
"Dutabarane DISP","1154","1/1/1970","Gatsata","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private","-1.924096 30.046306"
"Dutabarane LTD DISP","1158","1/1/1995","Kigarama","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Dispensary","Private","-1.967358 30.073616"
"Duwane HP","1833","1/1/2017","Kibirizi","Kibilizi Sub District","Gisagara District","South","Gisagara District","Health Post","Public","-2.595344 29.764082"
"Espoir Disp","1553","7/2/2014","Kinyinya","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private",""
"Espoire (Mageragere) DISP","1634","1/1/1970","Mageragere","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private",""
"Faith Clinic","1214","1/1/2012","Muhima","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private","-1.950027 30.059996"
"Family Care Disp","1486","1/1/1900","Nyarugenge","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private",""
"First DISP","1376","1/1/1900","RUKOMO","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Dispensary","Private",""
"fname","fosaid","odate","sector","subdistrict","district","province","district","facilitytype","ownership","latitude longitude"
"Fumbwe PS","652","1/1/2011","Fumbwe","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Health Post","Public",""
"GABIRO HP","2002","1/1/2017","Mahembe","Kibogora Sub District","Nyamasheke District","West","Nyamasheke District","Health Post","Public","-2.195264 29.272606"
"Gacuba Ii CS","197","1/1/2011","Gisenyi","Gisenyi Sub District","Rubavu District","West","Rubavu District","Health Center","Public","-1.6794 29.2642"
"GACUBA II HP","2073","1/1/2017","Gisenyi","Gisenyi Sub District","Rubavu District","West","Rubavu District","Health Post","Public","-1.679401 29.264324"
"Gacurabwenge DISP","527","1/1/2011","Gacurabwenge","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Dispensary","Private",""
"Gahanga CS","31","1/1/2011","Gahanga","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Health Center","Public","-2.027 30.1043"
"Gahara CS","420","1/1/2011","Gahara","Kirehe Sub District","Kirehe District","East","Kirehe District","Health Center","Public","-2.334 30.5043"
"Gahengeri CS","497","1/1/2011","Gahengeri","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Health Center","Public","-1.97066 30.32212"
"Gahini CS","405","1/1/2011","Gahini","Gahini Sub District","Kayonza District","East","Kayonza District","Health Center","Agree","-1.8407 30.4832"
"Gahini DH","406","1/1/2011","Gahini","Gahini Sub District","Kayonza District","East","Kayonza District","District Hospital","Agree","-1.8407 30.4832"
"Gahogo HP","1924","1/1/2017","Nyamabuye","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Post","Public","-2.087757 29.751328"
"Gahombo CS","600","1/1/2011","Kigoma","Nyanza Sub District","Nyanza District","South","Nyanza District","Health Center","Public","-2.29327 29.82252"
"GAHONDO HP","2033","1/1/2017","Busasamana","Nyanza Sub District","Nyanza District","South","Nyanza District","Health Post","Public","-2.36986 29.768674"
"Gahunga CS","586","1/1/2011","Gahunga","Butaro Sub District","Burera District","North","Burera District","Health Center","Public","-1.45017 29.70015"
"GAKAGATI HP","1979","1/1/2017","RWIMIYAGA","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Post","Public","-1.203011 30.483664"
"Gakamba CS","209","1/1/2011","Muringa","Shyira Sub District","Nyabihu District","West","Nyabihu District","Health Center","Public","-1.7318 29.4884"
"Gakamba HP","1704","1/1/2017","Mayange","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Public","-2.186787 30.157244"
"Gakenke CS","387","1/1/2011","Kiramuruzi","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Center","Public","-1.8016 30.4164"
"Gakenke DP","1084","1/1/2011","Nemba","Nemba Sub District","Gakenke District","North","Gakenke District","District Pharmacy","Public",""
"GAKO (NTONGWE) HP","2085","1/1/2017","Ntongwe","Ruhango Sub District","Ruhango District","South","Ruhango District","Health Post","Public","-2.268659 29.90566"
"Gako HP","2141","1/1/2016","Kagano","Kibogora Sub District","Nyamasheke District","West","Nyamasheke District","Health Post","","-2.365618 29.130413"
"Gakoma CS","53","1/1/2011","Mamba","Gakoma Sub District","Gisagara District","South","Gisagara District","Health Center","Agree","-2.3497 29.9177"
"Gakoma DH","54","1/1/2011","Mamba","Gakoma Sub District","Gisagara District","South","Gisagara District","District Hospital","Public","-2.3497 29.9177"
"Gakoma HP","1894","1/1/2017","Murundi (Kayonza District)","Gahini Sub District","Kayonza District","East","Kayonza District","Health Post","Public","-1.669301 30.571248"
"GAKONI-KIRAMURUZI PS","1608","1/1/1970","Kiramuruzi","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Post","Private",""
"Gakoro HP","1943","1/1/2017","Gacaca","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Post","Agree","-1.478437 29.698581"
"Gakurazo CS","446","1/1/2011","Musenyi","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Center","Public","-2.1853 30.0254"
"Galien Clin","1670","11/21/2016","Kimironko","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private",""
"Gasabo DP","1090","1/1/2011","Kimironko","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","District Pharmacy","Public",""
"Gasabo HP","1786","1/1/2017","Rutunga","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Post","Agree","-1.800104 30.147665"
"Gasagara (ex-birehe) CS","127","1/1/2011","Rongi","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Center","Public","-1.7679 29.7456"
"Gasagara HP","1787","1/1/2017","Rusororo","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Post","Public","-1.932125 30.23363"
"Gasakuza PS","621","1/1/2011","Gacaca","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Post","Public","-1.512188 29.703671"
"Gasange CS","388","1/1/2011","Gasange","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Center","Public","-1.80927 30.29713"
"Gasanze HP","1788","1/1/2017","Nduba","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Post","Agree","-1.880207 30.098281"
"Gasarabwayi DISP","1487","1/1/1900","Mwiri","Gahini Sub District","Kayonza District","East","Kayonza District","Dispensary","Private",""
"Gasarabwayi HP","1910","1/1/2017","Musaza","Kirehe Sub District","Kirehe District","East","Kirehe District","Health Post","Public","-2.365262 30.631438"
"GASAVE (MUSANGE) HP","1991","1/1/2017","Musange","Kaduha Sub District","Nyamagabe District","South","Nyamagabe District","Health Post","Public","-2.24029 29.551634"
"Gasave (RUGENDABARI) HP","1925","1/1/2017","Rugendabari","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Post","Public","-1.972742 29.68414"
"GASAYO HP","2004","1/1/2017","Karengera","Bushenge Sub District","Nyamasheke District","West","Nyamasheke District","Health Post","Public","-2.516111 29.054412"
"Gaseke (MUTETE) HP","1812","1/1/2017","Mutete","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Post","Agree","-1.768699 30.123029"
"Gaseke (RUHUNDA) HP","1731","1/1/2017","Ruhunde","Butaro Sub District","Burera District","North","Burera District","Health Post","Public","-1.562239 29.893592"
"Gasetsa CS","625","1/18/2011","Remera (Ngoma  District)","Kibungo Sub District","Ngoma District","East","Ngoma District","Health Center","Public",""
"Gashaki CS","602","1/1/2011","Gashaki","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Center","Public","-1.54025 29.75042"
"Gashanda CS","1660","2/7/2011","Gashanda","Kibungo Sub District","Ngoma District","East","Ngoma District","Health Center","Public",""
"Gashanje HP","1732","1/1/2017","Kivuye","Butaro Sub District","Burera District","North","Burera District","Health Post","Public","-1.436529 29.889587"
